Date,Open,High,Low,Close,Adj Close,Volume
2023-08-10,89.744614,91.811653,89.744614,90.638466,90.485588,5853515
2023-08-11,90.614525,92.090981,90.542702,91.460495,91.306229,4463437
2023-08-14,91.380684,92.458099,91.141258,92.218674,92.063126,4916020
2023-08-15,91.500397,91.508377,90.558662,90.861931,90.708679,4276614
2023-08-16,90.766159,92.051079,90.558662,90.638466,90.485588,4614924
2023-08-17,90.965683,91.292900,88.539505,88.555466,88.406105,5734981
2023-08-18,88.028732,89.329613,87.805267,89.217880,89.067398,5651281
2023-08-21,89.417397,89.768555,88.603355,89.401436,89.250641,3686075
2023-08-22,89.505188,90.223465,88.459694,89.114128,88.963821,3308421
2023-08-23,88.986435,90.790108,88.986435,90.558662,90.405914,3568043
2023-08-24,90.343178,90.949722,88.603355,88.619316,88.469841,4211960
2023-08-25,88.946526,89.680763,87.964882,89.361534,89.210808,3903596
2023-08-28,89.824425,91.205109,89.505188,90.949722,90.796318,3524313
2023-08-29,90.718277,92.314445,90.119713,92.043098,91.887848,5833091
2023-08-30,91.660019,92.242615,90.941742,91.229050,91.075172,6086573
2023-08-31,91.444534,91.731842,90.830009,91.348763,91.194687,5218620
2023-09-01,91.795692,92.146851,90.606544,91.173187,91.019409,4435119
2023-09-05,90.734238,91.133278,89.632881,90.087791,89.935844,4406550
2023-09-06,90.063850,91.037514,89.329613,89.928169,89.776489,5018014
2023-09-07,89.561050,90.303268,88.914604,89.217880,89.067398,4139035
2023-09-08,88.986435,89.409416,88.762970,89.162010,89.011620,3170967
2023-09-11,89.584999,91.221069,89.481247,91.189148,91.035339,5272499
2023-09-12,91.181168,93.232246,90.981644,91.779732,91.624924,5275255
2023-09-13,91.532326,92.067039,89.896248,90.662407,90.509483,3508651
2023-09-14,91.276932,93.543495,91.237030,92.298485,92.142807,6637768
2023-09-15,92.114922,92.505989,91.141258,92.170792,92.015327,8437076
2023-09-18,92.402237,93.719070,91.715881,93.032722,92.875801,4700880
2023-09-19,92.593773,93.120514,91.955307,92.745415,92.588982,3882045
2023-09-20,93.000801,93.910614,91.636070,91.660019,91.505417,5134919
2023-09-21,90.941742,91.252991,89.433357,90.175575,90.023476,5760292
2023-09-22,90.103752,90.343178,88.643257,88.786911,88.637154,6249463
2023-09-25,88.363930,89.353554,88.292099,89.162010,89.091896,4741101
2023-09-26,88.587387,89.337593,87.589783,87.733437,87.664444,6022043
2023-09-27,88.292099,89.074219,87.909019,88.499603,88.430008,5912656
2023-09-28,88.635277,90.175575,88.451714,89.656822,89.586319,5518337
2023-09-29,89.888268,89.984039,87.717476,88.228249,88.158867,4924165
2023-10-02,88.148445,88.747009,86.272942,86.823624,86.755348,5389278
2023-10-03,86.440544,87.781326,85.426971,86.001595,85.933968,8624900
2023-10-04,86.169197,87.158821,85.682365,86.871506,86.803192,4876551
2023-10-05,86.488426,87.110931,85.538704,86.767754,86.699524,4819539
2023-10-06,86.472466,89.305664,86.153229,88.962486,88.892532,5284026
2023-10-09,88.595367,88.699120,87.422188,87.996811,87.927612,5418473
2023-10-10,88.754990,90.175575,88.467674,88.970474,88.900513,5707039
2023-10-11,89.385475,90.502792,89.233841,90.391060,90.319977,3580573
2023-10-12,90.582603,90.774139,88.395851,88.850761,88.780891,3861746
2023-10-13,88.826813,88.962486,86.719872,87.294495,87.225853,4578337
2023-10-16,87.701515,88.523544,86.185158,87.102951,87.034454,5616698
2023-10-17,86.791702,88.339981,86.241020,87.805267,87.736221,4916647
2023-10-18,87.007179,87.454109,85.722267,85.849960,85.782448,6080433
2023-10-19,85.929771,87.071030,85.131683,85.355148,85.288025,5035055
2023-10-20,85.155624,85.586594,84.221870,84.660812,84.594238,9714760
2023-10-23,84.980049,86.432564,84.756584,85.147644,85.080688,7300229
2023-10-24,88.627296,91.691940,86.448524,90.678375,90.607071,15904078
2023-10-25,91.245010,91.245010,88.659218,88.747009,88.677223,8224191
2023-10-26,89.201912,89.640862,85.371109,86.831604,86.763321,9738191
2023-10-27,87.182762,87.661613,84.381485,84.876297,84.809555,6677237
2023-10-30,85.810059,88.172386,85.730247,87.637672,87.568756,5611435
2023-10-31,87.398247,87.589783,86.264961,86.695930,86.627754,6349452
2023-11-01,86.432564,86.456505,84.461296,85.594574,85.527267,12703791
2023-11-02,86.895454,87.174782,85.682365,86.017555,85.949913,9398127
2023-11-03,86.632080,87.350357,86.264961,86.927376,86.859016,6941620
2023-11-06,87.222664,89.289703,86.624100,89.209892,89.139740,6131806
2023-11-07,88.874702,90.127693,88.475655,89.225861,89.155693,5237415
2023-11-08,89.545090,91.021545,89.377495,90.861931,90.790482,6065021
2023-11-09,91.260971,91.596169,90.127693,90.255386,90.184410,5786605
2023-11-10,90.766159,92.226654,90.335197,91.995209,91.922867,4382618
2023-11-13,91.891457,93.024742,91.548286,92.194733,92.122231,5753776
2023-11-14,92.976852,93.822823,92.234634,93.575417,93.501831,6007634
2023-11-15,93.343971,93.774940,92.354347,92.817238,92.744247,5245309
2023-11-16,93.048683,94.940147,92.825218,94.924179,94.849533,5825072
2023-11-17,95.235435,95.834000,94.924179,95.714287,95.639023,5186418
2023-11-20,95.714287,96.360733,95.482841,95.826019,95.750664,5190678
2023-11-21,95.610535,95.969673,95.003990,95.682365,95.607124,3506019
2023-11-22,95.690346,96.161217,95.259377,95.450920,95.375862,3773785
2023-11-24,95.754189,96.049484,95.514763,95.746208,95.670914,1981995
2023-11-27,95.530724,96.025536,95.227455,95.746208,95.670914,3984415
2023-11-28,95.746208,95.857941,94.620911,94.852356,94.777771,4378107
2023-11-29,95.387070,95.530724,94.533119,94.860336,94.785744,3792831
